id;broadcaster_id
8870;447851349
961;447851349
6613;447851349
5514;91322849
5494;135417467
10714;160414908
749;150003531
145;20508512
431;20508512
1302;20508512
1772;20508512
1429;20508512
270;20508512
980;20508512
180;20508512
10714;57085074
3619;57085074
9605;38746172
4684;38746172
7347;197175106
641;172376071
10714;37902545
3619;37902545
1613;486901240
3619;486901240
9034;486901240
3619;85951854
9130;81393327
9903;22880697
9034;485742278
10714;485742278
3619;485742278
5694;507288563
10691;507288563
9053;73840282
5657;73840282
5899;73840282
5334;73840282
1059;73840282
327;73840282
1466;73840282
10714;148651829
9034;148651829
6073;148651829
3619;148651829
5689;501011582
10714;86227862
3619;86227862
10918;599679765
9034;72374786
8739;79018641
7991;421144832
7004;104777568
2694;86261591
10166;206004081
6086;563507578
4048;563507578
3437;166284808
3397;72414688
4856;461950535
5694;219010983
8109;179355117
4596;63144757
8075;60198919
7784;122683820
7542;122683820
10891;219069796
957;36125736
1035;36125736
243;36125736
1500;36125736
814;36125736
935;36125736
5651;44574567
586;32402794
5130;56625428
5326;95873995
8075;95873995
6580;95873995
9168;271729372
10008;26484662
4904;38539112
5326;116885541
1886;9244832
2717;9244832
719;9244832
2874;23945610
2853;107305687
8387;59131475
3040;89284114
4904;122017703
9433;252606559
2262;59075042
4266;59075042
1964;59075042
3006;59075042
8558;431460701
991;82333763
2722;82333763
5130;82333763
2835;82333763
2262;82333763
716;82333763
4904;142179218
8029;122320584
4809;122320584
9392;172172508
10197;88208039
9397;88208039
5694;88208039
8924;46578889
6417;153999084
8031;65781567
8870;65781567
6429;65781567
4720;65781567
10125;160803457
11273;160803457
8924;479792038
11329;140723745
10747;140723745
9308;140723745
5492;140723745
8463;140723745
6953;585785840
6043;109198644
6695;112890196
8404;127206237
8031;110724197
8404;121322007
8916;109558350
10674;502311980
2320;22192342
2156;22192342
11382;139681877
8404;36262207
8404;128940639
8404;531532836
6953;559371978
10309;31074047
7999;50174214
9498;32152294
6103;143753075
4552;143753075
8557;113572373
5345;157521416
6299;157521416
6152;157521416
4552;29134161
8595;56914431
4552;51534926
2443;51534926
4885;113082708
8918;28531566
9346;109700244
7220;231002992
6250;38913789
3685;38913789
515;214062798
716;39818525
6006;44660854
6585;44660854
5583;44660854
10370;117425956
11490;26177997
98;9846758
1101;9846758
178;9846758
973;9846758
11150;60768897
5532;60768897
10261;444524981
4371;56469268
4581;145516946
6269;154045252
214;24239394
996;24239394
1480;24239394
1613;43672595
9295;125622636
6438;98213961
11122;98213961
4764;98213961
6165;98213961
9629;98213961
7699;98213961
5835;98213961
6413;98213961
5545;32659441
9064;27442986
11614;46165086
5691;49788204
6206;237889460
6498;434369897
1;616759434
1;45805999
1;183171817
1;527037435
1;201967774
1;501299110
1;134001847
1;401745359
1;538316343
1;670938028
1;466212069
1;204442825
1;642996696
1;264368595
1;55957960
1;546503229
1;214712952
1;55234902
1;112185974
1;162843118
1;55768742
1;247001175
1;162603410
1;61700190
1;42753916
1;576778415
1;448992816
1;240371022
1;142377899
1;204039565
1;423674681
1;486882222
1;654662484
1;117096539
1;550886692
1;535390063
1;72688959
1;498666919
1;236933758
1;189738236
1;146505757
1;196305842
1;103160233
1;468341796
1;142738415
1;586303794
1;111928718
1;492061444
1;489156802
1;112678729
1;22281489
1;122477692
1;192027550
1;168271902
1;107841620
1;60823223
1;557088807
1;198379228
1;70935205
1;418339874
1;233933044
1;115484737
1;44427028
1;183342190
1;75904522
1;419370941
1;124302507
1;506239384
1;99250223
1;88967858
1;213239637
1;37602361
1;100647369
1;477921553
1;490398215
1;603180682
1;96828357
1;73153515
1;198992991
1;110608878
1;21700839
1;55659842
1;130269218
1;173916213
1;80177884
1;83270017
1;29057474
1;86219899
1;74943144
1;97715811
1;104932060
1;67052861
1;113153548
1;66503188
1;80675665
1;188232354
1;174119462
1;121939694
1;127445440
1;16995144
1;120449134
1;138429356
1;114519775
1;100686868
1;147253891
1;37076547
1;114180363
1;437013368
1;96706929
1;534448996
1;72186393
1;414327555
1;86207934
1;102860313
1;80283391
1;140400921
1;82932873
1;101053864
1;155637966
1;64338466
1;14964040
1;102511418
1;104543271
