id;name
65950;Beyond: Two Souls
34134;Call of Duty: Black Ops II
490292;Dark Souls III
497057;Destiny 2
497480;Detroit: Become Human
497385;Dragon Ball FighterZ
506413;Forza Horizon 4
32982;Grand Theft Auto V
369588;Mario Kart 8
941530474;Mario Kart 8 Deluxe
27471;Minecraft
488552;Overwatch
9618;Pokémon Trading Card Game
19731;Portal 2
2692;Super Mario 64
509508;Super Mario Bros.
14766;Super Mario Galaxy
493997;Super Mario Odyssey
6086;Super Mario Sunshine
16282;Super Smash Bros. Melee
504461;Super Smash Bros. Ultimate
30028;The Elder Scrolls V: Skyrim
33180;The Last of Us
