id;created_at;updated_at;info;team_name;team_display_name
1;No entry;No entry;This user does not have a team;No team;No team
8870;2020-07-09 10:20:54.82821 +0000 UTC;2020-07-09 14:01:22.772675 +0000 UTC;"The Elite Community:  Becoming the very best.

We believe that marketing, a strong community, training and gamification is the perfect mix for content creators to become the very best they can be. That’s what the academy is all about, trying to become better every single day.

[Website](https://www.eliteteam.tv) | [Discord](https://discord.com/invite/jefpHQn) | [Twitter](https://twitter.com/EliteTeamTV) |  [Youtube](https://www.youtube.com/channel/UCeqJY5cJnREKg4T82G94Wnw?sub_confirmation=1) | [Instagram](https://www.instagram.com/eliteteam.tv/) | [Facebook](https://www.facebook.com/Elite-112986767087179/)";eliteacademy;Elite Academy
961;2014-01-30 18:20:01.032125 +0000 UTC;2020-05-27 23:52:24.821796 +0000 UTC;;dzc;SecretSyndicate
6613;2019-04-03 13:25:36.197224 +0000 UTC;2019-04-04 18:11:51.714477 +0000 UTC;"We are here to meet new people and possible friends!
We Like a Well-Behaved Atmosphere!
We Are Creative!
We Try to Improve Ourselves!
We Think!
We Love Games!
We Are a Unit!
We Are Different!
We Have Various Content!";cosmiccats;Cosmic Cats
5514;2018-08-15 21:53:05.662535 +0000 UTC;2019-10-19 21:08:51.098942 +0000 UTC;Sacramento Esports;stingeresports;Rise n Grind
5494;2018-08-10 18:18:40.762884 +0000 UTC;2020-12-29 07:03:39.199599 +0000 UTC;"Grupo creado para todos los Streamers de Chile.
Si quieres unirte rellena el siguiente formulario: [https://goo.gl/forms/qpB08hTBd78cf8FF2](https://goo.gl/forms/qpB08hTBd78cf8FF2)
Discord Oficial [https://discord.gg/6fT4CgU](https://discord.gg/6fT4CgU)
Dudas y consultas: [https://www.twitch.tv/pancho](https://www.twitch.tv/pancho)
[https://www.instagram.com/canaldepancho](https://www.instagram.com/canaldepancho)";streamerschile;Streamers Chile
10714;2021-02-04 11:16:46.718021 +0000 UTC;2021-02-07 12:33:50.258399 +0000 UTC;Hitless Adept is a division of team [Hitless](https://www.twitch.tv/team/hitless) for active runners who have continued to push the boundaries in an exceptional or unique way. We want the team to be a place for the public to find active Hitless runners streaming their content. Before thinking about applying, consider if you have exemplified these traits, for example: Actively streaming hitless content, multiple games/runs done hitless, all bosses runs of a single game, off meta any% runs.) The website for team Hitless can be found here. [https://www.teamhitless.com/](https://www.teamhitless.com/);hitlessadept;Hitless Adept
749;2013-07-30 16:51:11.188474 +0000 UTC;2016-09-05 16:07:37.831832 +0000 UTC;"**DOŁĄCZ DO NAS!**

Dołącz do Polskiej Społeczności Twitch! Dzięki wspólnej grupie nasi widzowie już nigdy nie będą się nudzić :)

**WYMAGANIA:**

- **regularne** stremowanie w języku **polskim**

**- minimum  ![image](http://www.twitch.tv/images/xarth/g/g18_eye-00000080.png) 5000 wyświetleń kanału**

- i tyle:p

Zgłoszenie do grupy można wysyłać jako wiadomość za pośrednictwem [TEGO MAILA](mailto:ps@soushibo.pl) . Mail sprawdzany jest około raz na miesiąc!";polskiestrumyki;Polskie Strumyki
145;2012-01-06 08:16:10.069459 +0000 UTC;2014-09-18 22:28:51.561283 +0000 UTC;Check out [SpeedRunsLive.com!](http://speedrunslive.com);srl;SpeedRunsLive
431;2012-10-11 19:23:27.641647 +0000 UTC;2021-01-31 08:31:42.631021 +0000 UTC;"We are the #1 Team in Speedrunning!

Follow us on Twitter: twitter.com/speedrun_world";ludendi;Team Ludendi
