id;user_login;created_at;description;display_name;view_count;broadcaster_id
616759434;mrye9991;2020-12-05T09:31:52.737689Z;;mrye9991;1;3
67946152;geomarvel;2014-08-02T01:40:49.82107Z;;GeoMarvel;11255;3
215010379;p_0_l_a_r_i_s;2018-04-17T16:58:04.225398Z;;P_0_l_a_r_i_s;4120;3
93926630;makzoro;2015-06-19T18:32:52.509211Z;"Gutes Gameplay? Finde es heraus ;)";Makzoro;223;3
444989597;guduck0526;2019-06-30T11:51:28.774386Z;안녕하세요. PC, 콘솔등 종합게임을 하는 방송 쭈구리 방쭈라고 합니다. 못하는거 빼고 다 하는 방송이니 편하게 보시고 말도 걸어주세요^^바뀌었으면 좋을거 같은 개선사항들도 트게더에 써 주시면 최대한 노력 해보겠습니다.;방쭈;6093;3
642098687;desten_twitch;2021-01-27T12:14:27.875615Z;Hei😊Ich heiße Thorsten und bin 23 Jahre alt💎Ich würde hier gerne eine Community aufbauen, mit der man eine Menge Spaß haben kann aber auch einfach chillen kann💯Hoffe du schaust mal vorbei❤️;Desten_Twitch;667;3
501299110;vayikron;2020-03-20T04:30:17.620019Z;;vayikron;531;3
504114157;derick1101;2020-03-26T17:44:36.329094Z;;derick1101;1;3
401745359;madne55controll;2018-12-12T20:13:12.116087Z;;MADNE55CONTROLL;18;3
538316343;juicy_ii;2020-06-01T18:19:59.963979Z;The Juiciest Channel To Exist;JUICY_II;109;3
670938028;theosakasamurai;2021-04-03T19:40:28.327696Z;;TheOsakaSamurai;33;3
466212069;seabubble1;2019-10-09T23:47:44.855746Z;taking an off day to catch so zzz's guys. I'm exhausted!;seabubble1;434;3
204442825;jamesthesheriffdixon;2018-03-11T05:32:26.540035Z;I like to drink and play story driven games ...i'm live at least once a week sometimes twice ;jamesthesheriffdixon;779;3
456637466;vader187;2019-08-23T15:03:39.208036Z;;vader187;69;3
264368595;wightestboi;2018-10-03T03:51:13.112426Z;;wightestboi;8;3
55957960;ysn00p;2014-02-01T18:25:58.363268Z;Comecei no YouTube em 2013 com canal de jogos e desde então produzo conteúdo para a internet, no começo de 2015 decidi fazer vídeos de reação, cinema, séries e cultura geek e assim fazer algo diferente, comecei a fazer lives com mais regularidade em 2020 e nunca mais parei.;ysn00p;2335;3
435249049;c968;2019-05-12T02:11:52.017571Z;I speedrun Mario Odyssey. Sub to my YouTube ;c968;399;3
499421863;moukaeranaito;2020-03-14T19:25:36.009189Z;"Please make me rich. Feel free to write in German, English, or Japanese ;)https://streamlabs.com/moukaeranaito";Moukaeranaito;46;3
204039565;tank_legendlive;2018-03-09T22:01:13.395754Z;;Tank_legendLive;3605;3
112185974;arcfreezi;2016-01-09T13:26:06.158259Z;I might livestream some time in the far future. Yeah that's all.;arcFreezi;129;3
38315482;dpdixon;2012-12-08T19:46:20.434982Z;;dpdixon;1716;3
55768742;prel0ad;2014-01-29T14:57:42.46498Z;Auf meinem Channel seht ihr hauptsächlich Call of Duty Zombies und Dota 2.Beachtet, dass dieser Account bald in thereal4ces umbenannt wird.;pReL0aD;7438;3
474924404;lebbenn;2019-11-27T14:26:18.981917Z;Salut moi c'est LeBen ! Fan de jeux vidéo et de musique, ensemble on va jouer à des jeux indés, d'autres plus célèbres et on composera aussi les hits de demain !;lebbenn;745;3
133226753;buddyjjohnson;2016-08-26T22:30:17.768516Z;I play Nintendo games and stuff. I play competitive Tetris, and I speedrun Super Paper Mario, New Super Mario Bros U, and Super Mario Sunshine. I’m currently attempting to finish a Prehooktail Pit speedrun, and SM64 16 Star may be in my future as well. I also challenge run a variety of games.;BuddyJJohnson;1148;3
548806889;jcb_man;2020-06-28T09:22:08.99334Z;JCB_MAN  likes playing forza four and other racing games ,i like streaming,and talking to people from other countries ;jcb_man;2066;3
44366627;pancakesarebetter;2013-06-05T04:12:49.850624Z;All breakfast food is good food.;PancakesAreBetter;1325;3
576778415;ghostpants__;2020-09-01T22:05:31.298116Z;;ghostpants__;45;3
